Student_ID,Study_Hours,Screen_Time_Hours,Exam_Score
STU001,17.483570765056164,3.1948571035281805,71.62798347129575
STU002,14.308678494144075,1.3922819067113297,57.84154286793802
STU003,18.23844269050346,1.1267537170772877,75.73575116285201
STU004,22.61514928204013,5.813242073389626,74.14592416931916
STU005,13.82923312638332,5.1799006025610295,62.77174125324439
STU006,13.829315215254097,4.47987103046849,69.18631597679892
STU007,22.896064077536955,3.044764722071349,76.40919567005857
STU008,18.837173645764544,1.8664716003542288,69.1765911022709
STU009,12.65262807032524,1.7821852133554303,58.23438721506609
STU010,17.712800217929825,2.2512144908229765,66.95425786298082
STU012,12.671351232148716,4.572979613500312,58.151224609951285
STU013,16.20981135783017,4.300986883588656,61.41237013232195
STU014,5.43359877671101,2.3996694847297144,43.84828703130495
STU015,6.375410837434837,5.77432640331597,40.34820690542143
STU016,12.188562353795136,4.689484583478842,63.01457479841947
STU017,9.93584439832788,3.7717702625570033,48.72584450697639
STU018,16.571236662976368,4.058603731171761,65.16847459372532
STU019,10.459879622393943,3.0980003121389497,56.265804038745365
STU020,7.938481493323542,2.238654947505787,42.54120201957598
STU022,13.871118497567322,4.789230552321845,65.74503171177783
STU023,15.33764102343962,1.0719674431487791,57.312877313322254
STU024,7.8762590689327165,1.5803632025345813,48.06630538578119
STU025,12.278086377374088,1.2300132101087635,58.05132120721669
STU026,15.55461294854933,1.2036440115948506,67.34743997391777
STU027,9.245032112888486,5.277302920055036,45.39126780484234
STU029,11.996806550405974,3.370869145436626,58.480740673360735
STU030,13.541531251033616,1.4891708032550075,60.9793074452067
STU032,24.261390922544688,3.3673588539028283,84.76085286758622
STU033,14.932513876310331,1.866009349550076,60.13143164156877
STU034,9.711445355220498,3.169258246189865,52.29419457012911
STU036,8.895781750144888,4.079250490261082,46.71331417821328
STU037,16.044317975023777,4.175468254338218,72.76059758963135
STU038,5.201649380601122,1.2265200488602226,43.33896032096962
STU039,8.359069755507846,2.8730630731323563,43.62473947330667
STU040,15.984306179345618,4.129299578571182,67.79168802909567
STU041,18.692332899977053,3.5156812929004384,67.22440569904022
STU042,15.856841405949853,5.282449205941611,68.0333895080595
STU043,14.421758588058797,4.293468158094726,66.36225120975897
STU044,13.494481522053556,1.8146721354071484,56.40513007511098
STU045,7.607390048162863,1.352843737002149,50.58976262293559
STU046,11.400778958026455,4.212096391031578,56.732837415404205
STU047,12.696806145201062,1.1325565527081092,61.2212141594203
STU048,20.285611131094576,3.928877906367316,82.21551641902387
